Entry	Entry name	Protein names	Gene names	Gene ontology (GO)	Gene ontology (molecular function)
Q9Y616	IRAK3_HUMAN	Interleukin-1 receptor-associated kinase 3 (IRAK-3) (EC 2.7.11.1) (IL-1 receptor-associated kinase M) (IRAK-M)	IRAK3	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]; cytokine-mediated signaling pathway [GO:0019221]; interleukin-1-mediated signaling pathway [GO:0070498]; intracellular signal transduction [GO:0035556]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of cytokine-mediated signaling pathway [GO:0001960]; negative regulation of innate immune response [GO:0045824]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of macrophage cytokine production [GO:0010936]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein complex disassembly [GO:0043242]; negative regulation of toll-like receptor signaling pathway [GO:0034122]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of macrophage tolerance induction [GO:0010933]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of protein complex disassembly [GO:0043244]; response to exogenous dsRNA [GO:0043330]; response to interleukin-1 [GO:0070555]; response to lipopolysaccharide [GO:0032496]; response to peptidoglycan [GO:0032494]; response to virus [GO:0009615]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]
P35968	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309)	KDR FLK1 VEGFR2	cell junction [GO:0030054]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; sorting endosome [GO:0097443]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; growth factor binding [GO:0019838]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor binding [GO:0038085]; vascular endothelial growth factor-activated receptor activity [GO:0005021]; angiogenesis [GO:0001525]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; cell migration [GO:0016477]; cell migration involved in sprouting angiogenesis [GO:0002042]; cellular response to hydrogen sulfide [GO:1904881]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; embryonic hemopoiesis [GO:0035162]; endothelial cell differentiation [GO:0045446]; endothelium development [GO:0003158]; ERK1 and ERK2 cascade [GO:0070371]; extracellular matrix organization [GO:0030198]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of gene expression [GO:0010629]; peptidyl-tyrosine autophosphorylation [GO:0038083]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell migration [GO:0030335]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway [GO:0038033]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of macroautophagy [GO:0016239]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of vasculogenesis [GO:2001214]; protein autophosphorylation [GO:0046777]; protein kinase B signaling [GO:0043491]; regulation of cell shape [GO:0008360]; sprouting angiogenesis [GO:0002040]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; vasculogenesis [GO:0001570]; viral process [GO:0016032]	ATP binding [GO:0005524]; cadherin binding [GO:0045296]; growth factor binding [GO:0019838]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor-activated receptor activity [GO:0005021]; vascular endothelial growth factor binding [GO:0038085]
Q6PFW1	VIP1_HUMAN	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 (EC 2.7.4.21) (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 1) (Histidine acid phosphatase domain-containing protein 2A) (IP6 kinase) (Inositol pyrophosphate synthase 1) (InsP6 and PP-IP5 kinase 1) (VIP1 homolog) (hsVIP1)	PPIP5K1 HISPPD2A IP6K IPS1 KIAA0377 VIP1	cytosol [GO:0005829]; plasma membrane [GO:0005886]; 5-diphosphoinositol pentakisphosphate 3-kinase activity [GO:0102092]; ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol metabolic process [GO:0006020]; inositol phosphate biosynthetic process [GO:0032958]; inositol phosphate metabolic process [GO:0043647]	5-diphosphoinositol pentakisphosphate 3-kinase activity [GO:0102092]; ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]
Q06418	TYRO3_HUMAN	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)	TYRO3 BYK DTK RSE SKY TIF	cell [GO:0005623]; cell surface [GO:0009986]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; phosphatidylinositol 3-kinase binding [GO:0043548]; protein heterodimerization activity [GO:0046982]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; virus receptor activity [GO:0001618]; apoptotic cell clearance [GO:0043277]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; forebrain cell migration [GO:0021885]; natural killer cell differentiation [GO:0001779]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of lymphocyte activation [GO:0051250]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of toll-like receptor signaling pathway [GO:0034122]; nervous system development [GO:0007399]; neuron cellular homeostasis [GO:0070050]; neuropeptide signaling pathway [GO:0007218]; ovulation cycle [GO:0042698]; phagocytosis [GO:0006909]; phosphatidylinositol 3-kinase signaling [GO:0014065]; platelet activation [GO:0030168]; platelet aggregation [GO:0070527]; protein autophosphorylation [GO:0046777]; protein kinase B signaling [GO:0043491]; secretion by cell [GO:0032940]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; substrate adhesion-dependent cell spreading [GO:0034446]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; vagina development [GO:0060068]	ATP binding [GO:0005524]; phosphatidylinositol 3-kinase binding [GO:0043548]; protein heterodimerization activity [GO:0046982]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; virus receptor activity [GO:0001618]
Q96KB5	TOPK_HUMAN	Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase)	PBK TOPK	nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; cellular response to UV [GO:0034644]; mitotic cell cycle [GO:0000278]; negative regulation of inflammatory response [GO:0050728]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of stress-activated MAPK cascade [GO:0032873]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q96PN8	TSSK3_HUMAN	Testis-specific serine/threonine-protein kinase 3 (TSK-3) (TSSK-3) (Testis-specific kinase 3) (EC 2.7.11.1) (Serine/threonine-protein kinase 22C)	TSSK3 SPOGA3 STK22C	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]; cell differentiation [GO:0030154]; intracellular signal transduction [GO:0035556]; multicellular organism development [GO:0007275]; protein phosphorylation [GO:0006468]; spermatogenesis [GO:0007283]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]
Q86UE8	TLK2_HUMAN	Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2)	TLK2	intermediate filament [GO:0005882]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; cell cycle [GO:0007049]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to gamma radiation [GO:0071480]; chromatin organization [GO:0006325]; chromosome segregation [GO:0007059]; intracellular signal transduction [GO:0035556]; negative regulation of autophagy [GO:0010507]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of chromatin assembly or disassembly [GO:0001672]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
P43403	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; immunological synapse [GO:0001772]; plasma membrane [GO:0005886]; T cell receptor complex [GO:0042101]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphotyrosine residue binding [GO:0001784]; protein tyrosine kinase activity [GO:0004713]; adaptive immune response [GO:0002250]; B cell activation [GO:0042113]; beta selection [GO:0043366]; immune response [GO:0006955]; intracellular signal transduction [GO:0035556]; negative thymic T cell selection [GO:0045060]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of alpha-beta T cell differentiation [GO:0046638]; positive regulation of alpha-beta T cell proliferation [GO:0046641]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of T cell differentiation [GO:0045582]; positive thymic T cell selection [GO:0045059]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; T cell activation [GO:0042110]; T cell aggregation [GO:0070489]; T cell differentiation [GO:0030217]; T cell migration [GO:0072678]; T cell receptor signaling pathway [GO:0050852]	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphotyrosine residue binding [GO:0001784]; protein tyrosine kinase activity [GO:0004713]
Q9H4A3	WNK1_HUMAN	Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1)	WNK1 HSN2 KDP KIAA0344 PRKWNK1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; ATP binding [GO:0005524]; chloride channel inhibitor activity [GO:0019869]; phosphatase binding [GO:0019902]; potassium channel inhibitor activity [GO:0019870]; protein kinase activator activity [GO:0030295]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860]; protein serine/threonine kinase activity [GO:0004674]; cellular response to chemokine [GO:1990869]; chemokine (C-C motif) ligand 21 signaling pathway [GO:0038116]; intracellular signal transduction [GO:0035556]; ion homeostasis [GO:0050801]; ion transport [GO:0006811]; lymphocyte migration into lymph node [GO:0097022]; negative regulation of cell-cell adhesion mediated by integrin [GO:0033633]; negative regulation of GTPase activity [GO:0034260]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of leukocyte cell-cell adhesion [GO:1903038]; negative regulation of phosphatase activity [GO:0010923]; negative regulation of sodium ion transport [GO:0010766]; neuron development [GO:0048666]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ion transmembrane transporter activity [GO:0032414]; positive regulation of potassium ion import across plasma membrane [GO:1903288]; positive regulation of sodium ion transmembrane transporter activity [GO:2000651]; positive regulation of T cell chemotaxis [GO:0010820]; protein phosphorylation [GO:0006468]; regulation of cellular process [GO:0050794]; regulation of sodium ion transport [GO:0002028]; signal transduction by trans-phosphorylation [GO:0023016]; T cell receptor signaling pathway [GO:0050852]	ATP binding [GO:0005524]; chloride channel inhibitor activity [GO:0019869]; phosphatase binding [GO:0019902]; potassium channel inhibitor activity [GO:0019870]; protein kinase activator activity [GO:0030295]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860]; protein serine/threonine kinase activity [GO:0004674]
P34925	RYK_HUMAN	Tyrosine-protein kinase RYK (EC 2.7.10.1)	RYK JTK5A	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway [GO:1904929]; frizzled binding [GO:0005109]; kinase activity [GO:0016301]; transmembrane signaling receptor activity [GO:0004888]; Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]; axon guidance [GO:0007411]; axonogenesis [GO:0007409]; canonical Wnt signaling pathway [GO:0060070]; cell proliferation in midbrain [GO:0033278]; chemorepulsion of dopaminergic neuron axon [GO:0036518]; commissural neuron axon guidance [GO:0071679]; corpus callosum development [GO:0022038]; midbrain dopaminergic neuron differentiation [GO:1904948]; negative regulation of axon extension involved in axon guidance [GO:0048843]; nervous system development [GO:0007399]; neurogenesis [GO:0022008]; neuron differentiation [GO:0030182]; neuron projection development [GO:0031175]; non-canonical Wnt signaling pathway [GO:0035567]; peptidyl-tyrosine phosphorylation [GO:0018108]; planar cell polarity pathway involved in axon guidance [GO:1904938]; positive regulation of MAPK cascade [GO:0043410]; signal transduction [GO:0007165]; skeletal system morphogenesis [GO:0048705]; synapse assembly [GO:0007416]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; Wnt signaling pathway [GO:0016055]; Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation [GO:1904953]	ATP binding [GO:0005524]; coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway [GO:1904929]; frizzled binding [GO:0005109]; kinase activity [GO:0016301]; transmembrane signaling receptor activity [GO:0004888]; Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]
P30291	WEE1_HUMAN	Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)	WEE1	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein kinase activity [GO:0004672]; protein tyrosine kinase activity [GO:0004713]; cell division [GO:0051301]; establishment of cell polarity [GO:0030010]; G2/M transition of mitotic cell cycle [GO:0000086]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle checkpoint [GO:0007093]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; neuron projection morphogenesis [GO:0048812]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein kinase activity [GO:0004672]; protein tyrosine kinase activity [GO:0004713]
